iter	Passed	Remaining
599	877	584
600	878	583
601	880	581
602	881	580
603	882	578
604	884	577
605	885	575
606	887	574
607	888	572
608	890	571
609	891	570
610	892	568
611	894	566
612	895	565
613	897	563
614	898	562
615	899	560
616	901	559
617	902	557
618	904	556
619	905	555
620	907	553
621	908	552
622	909	550
623	911	548
624	912	547
625	913	545
626	915	544
627	916	543
628	918	541
629	919	540
630	921	538
631	922	537
632	923	535
633	925	534
634	926	532
635	928	531
636	929	529
637	930	528
638	932	526
639	933	525
640	935	523
641	936	522
642	937	520
643	939	519
644	940	517
645	942	516
646	943	514
647	945	513
648	946	511
649	948	510
650	949	509
651	950	507
652	952	506
653	953	504
654	955	503
655	956	501
656	957	500
657	959	498
658	960	497
659	962	495
660	963	494
661	965	492
662	966	491
663	968	490
664	969	488
665	971	487
666	972	485
667	974	484
668	975	482
669	977	481
670	978	479
671	980	478
672	981	476
673	983	475
674	984	474
675	986	472
676	987	471
677	988	469
678	990	468
679	991	466
680	993	465
681	995	464
682	997	462
683	999	461
684	1003	461
685	1004	459
686	1006	458
687	1008	457
688	1010	456
689	1012	454
690	1013	453
691	1015	451
692	1016	450
693	1018	449
694	1020	447
695	1022	446
696	1024	445
697	1026	443
698	1027	442
699	1029	441
700	1030	439
701	1032	438
702	1034	436
703	1036	435
704	1037	434
705	1039	432
706	1040	431
707	1042	429
708	1044	428
709	1046	427
710	1047	425
711	1049	424
712	1051	423
713	1052	421
714	1054	420
715	1056	418
716	1057	417
717	1059	416
718	1060	414
719	1062	413
720	1064	411
721	1065	410
722	1067	408
723	1068	407
724	1070	406
725	1071	404
726	1073	403
727	1075	401
728	1076	400
729	1078	398
730	1079	397
731	1081	395
732	1082	394
733	1084	392
734	1085	391
735	1087	390
736	1088	388
737	1090	387
738	1091	385
739	1093	384
740	1094	382
741	1096	381
742	1097	379
743	1099	378
744	1100	376
745	1102	375
746	1103	373
747	1105	372
748	1106	370
749	1108	369
750	1110	368
751	1111	366
752	1113	365
753	1115	363
754	1117	362
755	1118	361
756	1120	359
757	1121	358
758	1123	356
759	1125	355
760	1126	353
761	1128	352
762	1129	350
763	1131	349
764	1133	348
765	1134	346
766	1136	345
767	1138	343
768	1139	342
769	1141	340
770	1142	339
771	1143	337
772	1145	336
773	1147	335
774	1148	333
775	1150	332
776	1151	330
777	1153	329
778	1154	327
779	1156	326
780	1157	324
781	1159	323
782	1160	321
783	1162	320
784	1164	318
785	1165	317
786	1167	315
787	1168	314
788	1170	312
789	1171	311
790	1173	310
791	1175	308
792	1176	307
793	1178	305
794	1179	304
795	1181	302
796	1183	301
797	1184	299
798	1186	298
799	1187	296
800	1189	295
801	1190	293
802	1192	292
803	1193	291
804	1195	289
805	1197	288
806	1198	286
807	1200	285
808	1201	283
809	1202	282
810	1204	280
811	1205	279
812	1207	277
813	1209	276
814	1210	274
815	1212	273
816	1213	271
817	1215	270
818	1216	268
819	1218	267
820	1219	265
821	1221	264
822	1223	263
823	1224	261
824	1226	260
825	1228	258
826	1229	257
827	1231	255
828	1232	254
829	1234	252
830	1235	251
831	1237	249
832	1238	248
833	1240	246
834	1241	245
835	1243	243
836	1244	242
837	1246	240
838	1247	239
839	1249	237
840	1250	236
841	1252	235
842	1253	233
843	1255	232
844	1256	230
845	1258	229
846	1260	227
847	1261	226
848	1263	224
849	1264	223
850	1266	221
851	1267	220
852	1269	218
853	1270	217
854	1272	215
855	1273	214
856	1275	212
857	1277	211
858	1278	209
859	1279	208
860	1281	206
861	1283	205
862	1284	203
863	1285	202
864	1287	200
865	1288	199
866	1290	198
867	1292	196
868	1293	195
869	1295	193
870	1297	192
871	1298	190
872	1300	189
873	1301	187
874	1303	186
875	1305	184
876	1307	183
877	1308	181
878	1310	180
879	1311	178
880	1313	177
881	1314	175
882	1316	174
883	1317	172
884	1319	171
885	1320	169
886	1322	168
887	1324	167
888	1325	165
889	1327	164
890	1329	162
891	1330	161
892	1332	159
893	1333	158
894	1334	156
895	1336	155
896	1338	153
897	1339	152
898	1341	150
899	1342	149
900	1344	147
901	1346	146
902	1347	144
903	1348	143
904	1350	141
905	1351	140
906	1353	138
907	1355	137
908	1357	135
909	1358	134
910	1360	132
911	1361	131
912	1363	129
913	1364	128
914	1365	126
915	1367	125
916	1369	123
917	1370	122
918	1372	120
919	1373	119
920	1375	117
921	1376	116
922	1378	114
923	1379	113
924	1381	111
925	1382	110
926	1384	109
927	1386	107
928	1387	106
929	1389	104
930	1390	103
931	1392	101
932	1393	100
933	1395	98
934	1396	97
935	1398	95
936	1400	94
937	1402	92
938	1403	91
939	1404	89
940	1406	88
941	1407	86
942	1409	85
943	1410	83
944	1412	82
945	1413	80
946	1415	79
947	1416	77
948	1418	76
949	1420	74
950	1421	73
951	1423	71
952	1424	70
953	1426	68
954	1427	67
955	1429	65
956	1430	64
957	1432	62
958	1434	61
959	1436	59
960	1437	58
961	1439	56
962	1440	55
963	1442	53
964	1443	52
965	1445	50
966	1447	49
967	1448	47
968	1450	46
969	1451	44
970	1453	43
971	1455	41
972	1456	40
973	1457	38
974	1459	37
975	1460	35
976	1462	34
977	1464	32
978	1465	31
979	1467	29
980	1469	28
981	1470	26
982	1472	25
983	1474	23
984	1475	22
985	1477	20
986	1478	19
987	1480	17
988	1481	16
989	1483	14
990	1484	13
991	1486	11
992	1487	10
993	1489	8
994	1490	7
995	1492	5
996	1494	4
997	1495	2
998	1497	1
999	1499	0
