iter	Logloss
324	0.5768570037
325	0.5767854218
326	0.5767138388
327	0.5766458728
328	0.5765836538
329	0.5765208116
330	0.5764446198
331	0.5763824346
332	0.5763242419
333	0.576239306
334	0.5761214999
335	0.5760505304
336	0.5759608084
337	0.5758793548
338	0.5758240293
339	0.5757574839
340	0.5756741191
341	0.5755646185
342	0.5754982235
343	0.5754455766
344	0.5753777316
345	0.5753120615
346	0.575260869
347	0.5751719762
348	0.5750798938
349	0.5748572775
350	0.5747990053
351	0.5747212169
352	0.5746083113
353	0.5745442088
354	0.5744722653
355	0.5744197303
356	0.5743602973
357	0.5742857349
358	0.5742359197
359	0.5741823666
360	0.5740968945
361	0.5740281711
362	0.5739546782
363	0.5738490993
364	0.5737442151
365	0.5736986088
366	0.5736138577
367	0.5735524655
368	0.5734831243
369	0.5734179236
370	0.5733452147
371	0.5733002261
372	0.5732301638
373	0.5731521227
374	0.5731171842
375	0.5730806494
376	0.5730333118
377	0.5729627435
378	0.5729088254
379	0.5728437412
380	0.5727617771
381	0.572703183
382	0.5726186493
383	0.5725427829
384	0.5724763496
385	0.5723978731
386	0.5723267619
387	0.5722423679
388	0.5721625115
389	0.5720965941
390	0.572040101
391	0.5719881376
392	0.5719440561
393	0.5718955088
394	0.5718141176
395	0.5717370187
396	0.5716753361
397	0.5715757821
398	0.5714888496
399	0.5714371007
400	0.5713742262
401	0.5713053261
402	0.5712163651
403	0.5711632066
404	0.5710409367
405	0.5709851035
406	0.570925599
407	0.5708658429
408	0.5708193283
409	0.5707376601
410	0.5706826546
411	0.5706023716
412	0.5705537528
413	0.5704983131
414	0.5704300681
415	0.5703485085
416	0.5702683686
417	0.5702111884
418	0.5701531384
419	0.5701006023
420	0.5700383439
421	0.5699447388
422	0.5698987004
423	0.5698434345
424	0.5697510247
425	0.5697016088
426	0.5696506304
427	0.5695792619
428	0.5695169284
429	0.5694315231
430	0.5693749256
431	0.5693017814
432	0.5692393732
433	0.5691694911
434	0.5691113918
435	0.5690420207
436	0.5689856718
437	0.5688588292
438	0.5687906917
439	0.5687307565
440	0.5686610159
441	0.568593898
442	0.5685548587
443	0.5684507379
444	0.5683991429
445	0.568340773
446	0.5682953118
447	0.5681839992
448	0.5681190579
449	0.5680365008
450	0.567974604
451	0.5679123783
452	0.5678500097
453	0.5677978341
454	0.5677415622
455	0.567702524
456	0.5676463202
457	0.567539215
458	0.5674997382
459	0.5674791289
460	0.5674098327
461	0.5672875617
462	0.5672417015
463	0.5671512883
464	0.5670930899
465	0.5670224128
466	0.5669730751
467	0.566874097
468	0.5667737416
469	0.5667163458
470	0.5667067672
471	0.5666561157
472	0.5665624349
473	0.5665262242
474	0.5664662131
475	0.5663996476
476	0.5663134421
477	0.5662393544
478	0.5661773615
479	0.5661061852
480	0.5660503858
481	0.5659840978
482	0.5658845415
483	0.5658049018
484	0.5657406123
485	0.5656914549
486	0.5656079714
487	0.5655498116
488	0.5655054026
489	0.5654573019
490	0.5653982105
491	0.5653042031
492	0.5652398038
493	0.5651803392
494	0.565123558
495	0.5650803088
496	0.565004626
497	0.5649278735
498	0.5648824465
499	0.5648264262
500	0.5647881136
501	0.5647291194
502	0.5646777092
503	0.5646387436
504	0.5645658535
505	0.5644836395
506	0.5644062934
507	0.5643597087
508	0.5642962054
509	0.5642463551
510	0.5642145259
511	0.5641601394
512	0.5641323839
513	0.5640798853
514	0.5640303968
515	0.563979458
516	0.5638995666
517	0.563858059
518	0.5637903185
519	0.5637220019
520	0.5636672538
521	0.5636277801
522	0.5635498107
523	0.5634932109
524	0.5634573282
525	0.5634277594
526	0.5633759138
527	0.5633262408
528	0.5632813589
529	0.5632322718
530	0.5631613793
531	0.5630592831
532	0.5630283326
533	0.5629838861
534	0.5628955023
535	0.5628399186
536	0.5628084259
537	0.5627613333
538	0.5626725141
539	0.5626159892
540	0.5625516967
541	0.5625104838
542	0.5624597627
543	0.5623942391
544	0.562351933
545	0.5622890919
546	0.5622325241
547	0.5621933043
548	0.5621298486
549	0.5620787272
550	0.5620309784
551	0.5619716188
552	0.5619381658
553	0.5618876581
554	0.561835266
555	0.5617440545
556	0.561686073
557	0.5616282408
558	0.5615720017
559	0.5614992917
560	0.5614806428
561	0.561421033
562	0.5613649411
563	0.5613065579
564	0.56126269
565	0.5612124781
566	0.5611399868
567	0.5609383567
568	0.5608879974
569	0.5608360023
570	0.5607552388
571	0.5607208404
572	0.5606666001
573	0.5605827154
574	0.560510884
575	0.5604379947
576	0.5603852081
577	0.5603267943
578	0.5602831088
579	0.5602601852
580	0.5602191129
581	0.5601733625
582	0.5601297893
583	0.5600809912
584	0.5600329904
585	0.5599657985
586	0.5599235453
587	0.5598878782
588	0.5597998797
589	0.5597585534
590	0.5596923006
591	0.5596408178
592	0.5596327994
593	0.5595775421
594	0.5595266036
595	0.5594592292
596	0.5594324522
597	0.5593855454
598	0.5593409559
599	0.559259035
600	0.5591846572
601	0.5591341155
602	0.5590968922
603	0.5590727648
604	0.5590190303
605	0.5588684163
606	0.5588037246
607	0.5587273884
608	0.558670966
609	0.5586365376
610	0.5585953204
611	0.5585475702
612	0.5585142622
613	0.5584853104
614	0.5584705065
615	0.5584179725
616	0.558386118
617	0.5583162405
618	0.558276659
619	0.5582348271
620	0.5581962958
621	0.5581464437
622	0.5581088896
623	0.5580399277
624	0.5579890605
625	0.5579482096
626	0.5579256422
627	0.5578629086
628	0.5578311642
629	0.5577532341
630	0.5576296933
631	0.5575996167
632	0.5575655129
633	0.5575180573
634	0.5574641864
635	0.5574156029
636	0.5573711588
637	0.5573345427
638	0.5572591488
639	0.5572130742
640	0.5571670305
641	0.5571451526
642	0.5570817703
643	0.5570301411
644	0.5569715823
645	0.5568842868
646	0.5568356702
647	0.5567699286
648	0.5567498276
649	0.5567212023
650	0.5566943459
651	0.5566769363
652	0.5565792995
653	0.5565196147
654	0.556459533
655	0.5563987982
656	0.5563470241
657	0.5562866895
658	0.556243514
659	0.5561665241
660	0.5561122091
661	0.5560780314
662	0.5560135585
663	0.5559777484
664	0.5559308722
665	0.5558722397
666	0.5558394772
667	0.5557646278
668	0.5557177515
669	0.5556891636
670	0.5556195025
671	0.5555861549
672	0.5555590523
673	0.55549193
674	0.5554638499
675	0.5553701701
676	0.5553356277
677	0.5552625955
678	0.5552241006
679	0.5551659781
680	0.5550940469
681	0.5550474247
682	0.5550101995
683	0.5549625083
684	0.5548908209
685	0.5548296823
686	0.554742752
687	0.5546919936
688	0.5546577062
689	0.5545844156
690	0.5545066236
691	0.5544533628
692	0.5544080447
693	0.5543877268
694	0.5543295306
695	0.554259866
696	0.5542090693
697	0.554187298
698	0.5541229395
699	0.5540795453
700	0.5540180091
701	0.5539705512
702	0.553933215
703	0.5538831834
704	0.5538235723
705	0.5537696212
706	0.5537090678
707	0.5536392588
708	0.5536126655
709	0.5535934359
710	0.5535451458
711	0.5534995024
712	0.5534524797
713	0.5533909821
714	0.5532963999
715	0.553249306
716	0.5531989466
717	0.5531539208
718	0.5531130292
719	0.5530453998
720	0.5530016448
721	0.5529485656
722	0.5529249396
723	0.5528761064
724	0.5528393154
725	0.5527760398
726	0.552729455
727	0.5526923014
728	0.552667558
729	0.5526154894
730	0.5525953538
731	0.5525699919
732	0.5525126311
733	0.5524372396
734	0.5523948253
735	0.5523368137
736	0.5523007135
737	0.5522546353
738	0.5522030768
739	0.5521519896
740	0.5521277521
741	0.5520905247
742	0.5520468053
743	0.551984981
744	0.5519147543
745	0.5518961803
746	0.5518609505
747	0.5518089576
748	0.5517509768
749	0.5516854882
750	0.5516233363
751	0.5515522611
752	0.5515070133
753	0.5514496163
754	0.5514194673
755	0.5513691422
756	0.5513326787
757	0.5512863085
758	0.551255725
759	0.5511851251
760	0.5511000813
761	0.5510627827
762	0.5510112624
763	0.5509825622
764	0.5509444685
765	0.5509032514
766	0.5508612016
767	0.5508346797
768	0.5507901958
769	0.5507161092
770	0.5505791006
771	0.5505439095
772	0.5504733039
773	0.5504288586
774	0.5503949362
775	0.5503620638
776	0.550330824
777	0.5502945068
778	0.5502564825
779	0.5501881274
780	0.5501453861
781	0.550106634
782	0.5500596137
783	0.5500165073
784	0.5499689057
785	0.5499283788
786	0.5498767509
787	0.5498330651
788	0.5497285008
789	0.5497089077
790	0.5496745928
791	0.5496449889
792	0.5495836838
793	0.5495450801
794	0.5494921086
795	0.5494553923
796	0.5494339135
797	0.549370241
798	0.5493350432
799	0.5492916853
800	0.5492473487
801	0.5492069307
802	0.5491665469
803	0.5491375577
804	0.5490932211
805	0.5490475072
806	0.5490141269
807	0.5489593422
808	0.5489204834
809	0.5488802831
810	0.5488419331
811	0.5487991215
812	0.5487361035
813	0.5486821523
814	0.5486479011
815	0.5486086813
816	0.5485682746
817	0.5485270222
818	0.5484716562
819	0.5484330521
820	0.5483402795
821	0.5482939848
822	0.5482483753
823	0.5482172466
824	0.5481675777
825	0.548135033
826	0.5481166381
827	0.5480581245
828	0.5480031958
829	0.5479665853
830	0.5479225402
831	0.5478689892
832	0.5478387675
833	0.5477727348
834	0.5477238993
835	0.5477046687
836	0.5476729572
837	0.547621039
838	0.5475819634
839	0.5475177809
840	0.5474702667
841	0.547437867
842	0.5473771018
843	0.547351414
844	0.547295252
845	0.547243004
846	0.547195621
847	0.5471157293
848	0.5468719595
849	0.5468150332
850	0.5467499426
851	0.5467001276
852	0.5466573149
853	0.546624878
854	0.5465970838
855	0.5465303642
856	0.5464841047
857	0.5464366831
858	0.5463986587
859	0.5463366913
860	0.5462761411
861	0.546247551
862	0.5462350336
863	0.5462004535
864	0.5461433471
865	0.5460902689
866	0.5460408167
867	0.5460255774
868	0.5459396992
869	0.5458707274
870	0.5458307064
871	0.5458243208
872	0.5457963475
873	0.5457564386
874	0.5457387319
875	0.5457173991
876	0.5457106507
877	0.5456620329
878	0.5456165358
879	0.5455913571
880	0.5455660324
881	0.545492743
882	0.5454551551
883	0.5454104559
884	0.5453529854
885	0.5453272976
886	0.5452917043
887	0.5452509947
888	0.5452116992
889	0.5451728413
890	0.5451024559
891	0.545096687
892	0.5450320075
893	0.5449871995
894	0.5449408677
895	0.5448919244
896	0.5448802416
897	0.5448535349
898	0.5448155487
899	0.5447721897
900	0.5447108373
901	0.5446025357
902	0.5445435461
903	0.5445121258
904	0.5444648868
905	0.5444222184
906	0.5443749079
907	0.5443205598
908	0.5443020516
909	0.5442496586
910	0.5441780754
911	0.5441210757
912	0.5440868628
913	0.5440258765
914	0.5439823337
915	0.5439147054
916	0.5438851336
917	0.5438508451
918	0.5438029519
919	0.5437790441
920	0.5437409098
921	0.5437009985
922	0.5436781401
923	0.5436281457
924	0.5435861906
925	0.5435270554
926	0.5434801058
927	0.5434446948
928	0.5434365675
929	0.543402788
930	0.5433732183
931	0.5433025413
932	0.543254105
933	0.5432182256
934	0.5431938793
935	0.543161661
936	0.5431497979
937	0.543105678
938	0.5430678043
939	0.543006632
940	0.5429674476
941	0.5429303675
942	0.5428948112
943	0.5428737677
944	0.5428286694
945	0.5427712705
946	0.5427246132
947	0.5426944265
948	0.5426884399
949	0.5426413473
950	0.542602264
951	0.5425770481
952	0.5425414202
953	0.5425144982
954	0.5424703803
955	0.5424078305
956	0.5423675565
957	0.5423097223
958	0.5422658562
959	0.5422155323
960	0.5421816451
961	0.5421653545
962	0.5421047275
963	0.5420730181
964	0.5420411626
965	0.5420014331
966	0.5419529241
967	0.5418963256
968	0.5418361703
969	0.5418294228
970	0.5417947375
971	0.5417339291
972	0.5416962311
973	0.5416364386
974	0.5416050549
975	0.5415649227
976	0.5415163038
977	0.5414743981
978	0.5414329653
979	0.5413924751
980	0.5413702342
981	0.5412812029
982	0.5412506526
983	0.5412084225
984	0.5411745716
985	0.5411463114
986	0.5410604149
987	0.541017311
988	0.5409906076
989	0.540926028
990	0.5408905786
991	0.540861263
992	0.5408235671
993	0.5407533979
994	0.5407148315
995	0.5406983959
996	0.5406653828
997	0.5406579087
998	0.5406129917
999	0.5405842211
